"SITE_ID","DATE","SPECIES","DAY","MONTH","M_YEAR","COUNT"
"TR010",2010-01-01,"Papilio machaon",1,1,2010,"1"
"TR010",2010-01-01,"Euchloe belemia",1,1,2010,"1"
"TR010",2010-01-01,"Euchloe belemia",1,1,2010,"3"
"TR010",2010-01-01,"Euchloe charlonia",1,1,2010,"4"
"TR010",2010-01-01,"Euchloe charlonia",1,1,2010,"3"
"TR010",2010-01-01,"Vanessa cardui",1,1,2010,"1"
"TR010",2010-01-01,"Vanessa cardui",1,1,2010,"1"
"TR010",2010-04-04,"Papilio machaon",4,4,2010,"1"
"TR010",2010-04-04,"Papilio machaon",4,4,2010,"1"
"TR010",2010-04-04,"Papilio machaon",4,4,2010,"1"
"TR010",2010-04-04,"Pieris rapae",4,4,2010,"1"
"TR010",2010-04-04,"Pontia daplidice",4,4,2010,"1"
"TR010",2010-04-04,"Pontia daplidice",4,4,2010,"5"
"TR010",2010-04-04,"Pontia daplidice",4,4,2010,"2"
"TR010",2010-04-04,"Pontia daplidice",4,4,2010,"2"
"TR010",2010-04-04,"Euchloe belemia",4,4,2010,"6"
"TR010",2010-04-04,"Euchloe belemia",4,4,2010,"5"
"TR010",2010-04-04,"Euchloe belemia",4,4,2010,"4"
"TR010",2010-04-04,"Euchloe belemia",4,4,2010,"5"
"TR010",2010-04-04,"Euchloe belemia",4,4,2010,"7"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"4"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"3"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"3"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"9"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"3"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"3"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"2"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"1"
"TR010",2010-04-04,"Euchloe charlonia",4,4,2010,"1"
"TR010",2010-04-04,"Vanessa cardui",4,4,2010,"1"
"TR010",2010-04-04,"Vanessa cardui",4,4,2010,"1"
"TR010",2010-04-04,"Vanessa cardui",4,4,2010,"1"
"TR010",2010-04-04,"Vanessa cardui",4,4,2010,"1"
"TR010",2010-04-04,"Vanessa cardui",4,4,2010,"1"
"TR010",2010-04-04,"Tarucus balkanica",4,4,2010,"1"
"TR010",2010-06-02,"Papilio machaon",6,2,2010,"1"
"TR010",2010-06-02,"Euchloe charlonia",6,2,2010,"2"
"TR010",2010-06-02,"Euchloe charlonia",6,2,2010,"1"
"TR010",2010-06-02,"Vanessa cardui",6,2,2010,"2"
"TR010",2010-06-02,"Vanessa cardui",6,2,2010,"1"
"TR010",2010-06-05,"Papilio machaon",6,5,2010,"1"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"13"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"5"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"6"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"8"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"4"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"7"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"6"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"4"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"3"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"2"
"TR010",2010-06-05,"Pontia daplidice",6,5,2010,"30"
"TR010",2010-06-05,"Lycaena thersamon",6,5,2010,"1"
"TR010",2010-10-03,"Papilio machaon",10,3,2010,"1"
"TR010",2010-10-03,"Pontia daplidice",10,3,2010,"1"
"TR010",2010-10-03,"Pontia daplidice",10,3,2010,"1"
"TR010",2010-10-03,"Vanessa cardui",10,3,2010,"1"
"TR010",2010-10-03,"Vanessa cardui",10,3,2010,"1"
"TR010",2010-10-03,"Lycaena thersamon",10,3,2010,"1"
"TR010",2010-10-16,"Papilio machaon",16,10,2010,"1"
"TR010",2010-10-16,"Vanessa cardui",16,10,2010,"1"
"TR010",2010-10-16,"Vanessa cardui",16,10,2010,"1"
"TR010",2011-03-03,"Euchloe belemia",3,3,2011,"2"
"TR010",2011-03-03,"Euchloe belemia",3,3,2011,"1"
"TR010",2011-03-03,"Euchloe belemia",3,3,2011,"2"
"TR010",2011-03-03,"Euchloe belemia",3,3,2011,"1"
"TR010",2011-03-03,"Euchloe ausonia",3,3,2011,"1"
"TR010",2011-03-03,"Euchloe charlonia",3,3,2011,"2"
"TR010",2011-03-03,"Euchloe charlonia",3,3,2011,"7"
"TR010",2011-03-03,"Euchloe charlonia",3,3,2011,"10"
"TR010",2011-03-03,"Euchloe charlonia",3,3,2011,"2"
"TR010",2011-04-01,"Vanessa cardui",4,1,2011,"1"
"TR010",2011-04-05,"Pontia daplidice",4,5,2011,"1"
"TR010",2011-06-02,"Euchloe charlonia",6,2,2011,"1"
"TR010",2011-08-11,"Papilio machaon",8,11,2011,"1"
"TR010",2012-06-04,"Papilio machaon",6,4,2012,"2"
"TR010",2012-06-04,"Pontia daplidice",6,4,2012,"2"
"TR010",2012-06-04,"Pontia daplidice",6,4,2012,"1"
"TR010",2012-06-04,"Euchloe belemia",6,4,2012,"2"
"TR010",2012-06-04,"Euchloe belemia",6,4,2012,"1"
"TR010",2012-06-04,"Euchloe belemia",6,4,2012,"1"
"TR010",2012-06-04,"Euchloe belemia",6,4,2012,"1"
"TR010",2012-06-04,"Euchloe charlonia",6,4,2012,"1"
"TR010",2012-06-04,"Euchloe charlonia",6,4,2012,"3"
"TR010",2012-06-04,"Euchloe charlonia",6,4,2012,"2"
"TR010",2012-06-04,"Euchloe charlonia",6,4,2012,"1"
"TR010",2012-08-03,"Papilio machaon",8,3,2012,"4"
"TR010",2012-08-03,"Euchloe belemia",8,3,2012,"1"
"TR010",2012-08-03,"Euchloe charlonia",8,3,2012,"3"
"TR010",2012-08-03,"Euchloe charlonia",8,3,2012,"1"
"TR010",2012-08-03,"Euchloe charlonia",8,3,2012,"8"
"TR010",2012-08-03,"Euchloe charlonia",8,3,2012,"3"
"TR010",2012-08-05,"Pontia daplidice",8,5,2012,"1"
"TR010",2012-11-06,"Pontia daplidice",11,6,2012,"1"
"TR010",2012-11-29,"Papilio machaon",29,11,2012,"1"
"TR010",2012-12-27,"Papilio machaon",27,12,2012,"1"
"TR010",2012-12-27,"Vanessa cardui",27,12,2012,"2"
"TR010",2012-12-27,"Vanessa cardui",27,12,2012,"1"
"TR010",2013-01-17,"Papilio machaon",17,1,2013,"1"
"TR010",2013-01-17,"Euchloe belemia",17,1,2013,"2"
