"SITE_ID","DATE"
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-01-01
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-04-04
"TR010",2010-06-02
"TR010",2010-06-02
"TR010",2010-06-02
"TR010",2010-06-02
"TR010",2010-06-02
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-06-05
"TR010",2010-10-03
"TR010",2010-10-03
"TR010",2010-10-03
"TR010",2010-10-03
"TR010",2010-10-03
"TR010",2010-10-03
"TR010",2010-10-16
"TR010",2010-10-16
"TR010",2010-10-16
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-03-03
"TR010",2011-04-01
"TR010",2011-04-05
"TR010",2011-06-02
"TR010",2011-08-11
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-06-04
"TR010",2012-08-03
"TR010",2012-08-03
"TR010",2012-08-03
"TR010",2012-08-03
"TR010",2012-08-03
"TR010",2012-08-03
"TR010",2012-08-05
"TR010",2012-11-06
"TR010",2012-11-29
"TR010",2012-12-27
"TR010",2012-12-27
"TR010",2012-12-27
"TR010",2013-01-17
"TR010",2013-01-17
"TR010",2013-01-17
"TR010",2013-01-17
"TR010",2013-01-17
"TR010",2013-01-17
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-01-28
"TR010",2013-02-13
"TR010",2013-02-13
"TR010",2013-02-13
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-02-27
"TR010",2013-03-15
"TR010",2013-03-15
"TR010",2013-03-15
"TR010",2013-03-15
"TR010",2013-03-15
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-03-30
"TR010",2013-04-14
"TR010",2013-04-14
"TR010",2013-05-03
"TR010",2013-05-13
"TR010",2013-05-26
"TR010",2013-10-23
"TR010",2013-11-08
"TR010",2014-01-23
"TR010",2014-01-23
"TR010",2014-01-23
"TR010",2014-02-08
"TR010",2014-02-08
"TR010",2014-02-08
"TR010",2014-03-07
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-03-23
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
"TR010",2014-04-03
